Origin_airport,Destination_airport,Origin_city,Destination_city,Flights,Distance,Origin_lat,Origin_long,Flight_duration,Destination_lat,Destination_long
ATQ,BOM,Amritsar,Mumbai,79,1411,31.71,74.8,1.76375,19.08,72.88
ATQ,PNQ,Amritsar,Pune,79,1457,31.71,74.8,1.82125,18.52,73.85
ATQ,GOI,Amritsar,Goa,20,1811,31.71,74.8,2.26375,15.2993,74.124
ATQ,LKO,Amritsar,Lucknow,51,807,31.71,74.8,1.00875,26.85,80.91
ATQ,VNS,Amritsar,Varanasi,68,1050,31.71,74.8,1.3125,25.3176,82.9739
ATQ,PAT,Amritsar,Patna,87,1212,31.71,74.8,1.515,25.5941,85.1376
ATQ,RPR,Amritsar,Raipur,92,1356,31.71,74.8,1.695,21.2514,81.6296
ATQ,RNC,Amritsar,Ranchi,25,1394,31.71,74.8,1.7425,23.3441,85.3095
ATQ,BBI,Amritsar,Bhubaneswar,51,1680,31.71,74.8,2.1,20.2961,85.8245
ATQ,CCU,Amritsar,Kolkata,23,1682,31.71,74.8,2.1025,22.5726,88.3639
ATQ,IXB,Amritsar,Bagdogra,21,1428,31.71,74.8,1.785,26.677,88.3282
ATQ,HYD,Amritsar,Hyderabad,35,1644,31.71,74.8,2.055,17.385,78.4867
IXC,IXJ,Chandigarh,Jammu,51,290,30.67,76.79,0.3625,32.69,74.84
IXC,ATQ,Chandigarh,Amritsar,85,222,30.67,76.79,0.2775,31.71,74.8
IXC,DED,Chandigarh,Dehradun,78,144,30.67,76.79,0.18,30.19,78.18
IXC,DEL,Chandigarh,Delhi,53,236,30.67,76.79,0.295,28.56,77.1
IXC,JAI,Chandigarh,Jaipur,81,437,30.67,76.79,0.54625,26.82,75.8
IXC,UDR,Chandigarh,Udaipur,46,729,30.67,76.79,0.91125,24.58,73.68
IXC,AMD,Chandigarh,Ahmedabad,72,937,30.67,76.79,1.17125,23.03,72.58
IXC,BOM,Chandigarh,Mumbai,96,1343,30.67,76.79,1.67875,19.08,72.88
IXC,PNQ,Chandigarh,Pune,77,1370,30.67,76.79,1.7125,18.52,73.85
IXC,GOI,Chandigarh,Goa,50,1720,30.67,76.79,2.15,15.2993,74.124
IXC,LKO,Chandigarh,Lucknow,63,590,30.67,76.79,0.7375,26.85,80.91
IXC,VNS,Chandigarh,Varanasi,24,831,30.67,76.79,1.03875,25.3176,82.9739
IXC,PAT,Chandigarh,Patna,29,991,30.67,76.79,1.23875,25.5941,85.1376
IXC,RPR,Chandigarh,Raipur,77,1162,30.67,76.79,1.4525,21.2514,81.6296
IXC,RNC,Chandigarh,Ranchi,76,1175,30.67,76.79,1.46875,23.3441,85.3095
IXC,BBI,Chandigarh,Bhubaneswar,28,1468,30.67,76.79,1.835,20.2961,85.8245
IXC,CCU,Chandigarh,Kolkata,68,1460,30.67,76.79,1.825,22.5726,88.3639
IXC,IXB,Chandigarh,Bagdogra,82,1211,30.67,76.79,1.51375,26.677,88.3282
IXC,HYD,Chandigarh,Hyderabad,40,1497,30.67,76.79,1.87125,17.385,78.4867
DED,IXJ,Dehradun,Jammu,80,422,30.19,78.18,0.5275,32.69,74.84
DED,ATQ,Dehradun,Amritsar,50,365,30.19,78.18,0.45625,31.71,74.8
DED,IXC,Dehradun,Chandigarh,93,144,30.19,78.18,0.18,30.67,76.79
DED,DEL,Dehradun,Delhi,34,208,30.19,78.18,0.26,28.56,77.1
DED,JAI,Dehradun,Jaipur,50,439,30.19,78.18,0.54875,26.82,75.8
DED,UDR,Dehradun,Udaipur,83,749,30.19,78.18,0.93625,24.58,73.68
DED,AMD,Dehradun,Ahmedabad,84,962,30.19,78.18,1.2025,23.03,72.58
DED,BOM,Dehradun,Mumbai,74,1342,30.19,78.18,1.6775,19.08,72.88
DED,PNQ,Dehradun,Pune,51,1356,30.19,78.18,1.695,18.52,73.85
DED,GOI,Dehradun,Goa,21,1699,30.19,78.18,2.12375,15.2993,74.124
DED,LKO,Dehradun,Lucknow,88,463,30.19,78.18,0.57875,26.85,80.91
DED,VNS,Dehradun,Varanasi,37,699,30.19,78.18,0.87375,25.3176,82.9739
DED,PAT,Dehradun,Patna,67,850,30.19,78.18,1.0625,25.5941,85.1376
DED,RPR,Dehradun,Raipur,99,1060,30.19,78.18,1.325,21.2514,81.6296
DED,RNC,Dehradun,Ranchi,57,1041,30.19,78.18,1.30125,23.3441,85.3095
DED,BBI,Dehradun,Bhubaneswar,59,1343,30.19,78.18,1.67875,20.2961,85.8245
DED,CCU,Dehradun,Kolkata,93,1320,30.19,78.18,1.65,22.5726,88.3639
DED,IXB,Dehradun,Bagdogra,60,1067,30.19,78.18,1.33375,26.677,88.3282
DED,HYD,Dehradun,Hyderabad,82,1434,30.19,78.18,1.7925,17.385,78.4867
DEL,IXJ,Delhi,Jammu,80,506,28.56,77.1,0.6325,32.69,74.84
DEL,ATQ,Delhi,Amritsar,25,413,28.56,77.1,0.51625,31.71,74.8
DEL,IXC,Delhi,Chandigarh,79,236,28.56,77.1,0.295,30.67,76.79
DEL,DED,Delhi,Dehradun,58,208,28.56,77.1,0.26,30.19,78.18
DEL,JAI,Delhi,Jaipur,45,231,28.56,77.1,0.28875,26.82,75.8
DEL,UDR,Delhi,Udaipur,58,542,28.56,77.1,0.6775,24.58,73.68
DEL,AMD,Delhi,Ahmedabad,27,755,28.56,77.1,0.94375,23.03,72.58
DEL,BOM,Delhi,Mumbai,21,1135,28.56,77.1,1.41875,19.08,72.88
DEL,PNQ,Delhi,Pune,20,1152,28.56,77.1,1.44,18.52,73.85
DEL,GOI,Delhi,Goa,73,1498,28.56,77.1,1.8725,15.2993,74.124
DEL,LKO,Delhi,Lucknow,67,424,28.56,77.1,0.53,26.85,80.91
DEL,VNS,Delhi,Varanasi,69,667,28.56,77.1,0.83375,25.3176,82.9739
DEL,PAT,Delhi,Patna,72,858,28.56,77.1,1.0725,25.5941,85.1376
DEL,RPR,Delhi,Raipur,87,943,28.56,77.1,1.17875,21.2514,81.6296
DEL,RNC,Delhi,Ranchi,68,1008,28.56,77.1,1.26,23.3441,85.3095
DEL,BBI,Delhi,Bhubaneswar,82,1276,28.56,77.1,1.595,20.2961,85.8245
DEL,CCU,Delhi,Kolkata,50,1313,28.56,77.1,1.64125,22.5726,88.3639
DEL,IXB,Delhi,Bagdogra,26,1127,28.56,77.1,1.40875,26.677,88.3282
DEL,HYD,Delhi,Hyderabad,22,1262,28.56,77.1,1.5775,17.385,78.4867
JAI,IXJ,Jaipur,Jammu,84,657,26.82,75.8,0.82125,32.69,74.84
JAI,ATQ,Jaipur,Amritsar,88,550,26.82,75.8,0.6875,31.71,74.8
JAI,IXC,Jaipur,Chandigarh,57,437,26.82,75.8,0.54625,30.67,76.79
JAI,DED,Jaipur,Dehradun,75,439,26.82,75.8,0.54875,30.19,78.18
JAI,DEL,Jaipur,Delhi,69,231,26.82,75.8,0.28875,28.56,77.1
JAI,UDR,Jaipur,Udaipur,22,311,26.82,75.8,0.38875,24.58,73.68
JAI,AMD,Jaipur,Ahmedabad,75,525,26.82,75.8,0.65625,23.03,72.58
JAI,BOM,Jaipur,Mumbai,95,908,26.82,75.8,1.135,19.08,72.88
JAI,PNQ,Jaipur,Pune,55,933,26.82,75.8,1.16625,18.52,73.85
JAI,GOI,Jaipur,Goa,81,1284,26.82,75.8,1.605,15.2993,74.124
JAI,LKO,Jaipur,Lucknow,56,505,26.82,75.8,0.63125,26.85,80.91
JAI,VNS,Jaipur,Varanasi,86,721,26.82,75.8,0.90125,25.3176,82.9739
JAI,PAT,Jaipur,Patna,41,937,26.82,75.8,1.17125,25.5941,85.1376
JAI,RPR,Jaipur,Raipur,61,868,26.82,75.8,1.085,21.2514,81.6296
JAI,RNC,Jaipur,Ranchi,86,1035,26.82,75.8,1.29375,23.3441,85.3095
JAI,BBI,Jaipur,Bhubaneswar,87,1254,26.82,75.8,1.5675,20.2961,85.8245
JAI,CCU,Jaipur,Kolkata,42,1358,26.82,75.8,1.6975,22.5726,88.3639
JAI,IXB,Jaipur,Bagdogra,90,1245,26.82,75.8,1.55625,26.677,88.3282
JAI,HYD,Jaipur,Hyderabad,54,1095,26.82,75.8,1.36875,17.385,78.4867
UDR,IXJ,Udaipur,Jammu,89,899,24.58,73.68,1.12375,32.69,74.84
UDR,ATQ,Udaipur,Amritsar,54,791,24.58,73.68,0.98875,31.71,74.8
UDR,IXC,Udaipur,Chandigarh,77,729,24.58,73.68,0.91125,30.67,76.79
UDR,DED,Udaipur,Dehradun,62,749,24.58,73.68,0.93625,30.19,78.18
UDR,DEL,Udaipur,Delhi,58,542,24.58,73.68,0.6775,28.56,77.1
UDR,JAI,Udaipur,Jaipur,61,311,24.58,73.68,0.38875,26.82,75.8
UDR,AMD,Udaipur,Ahmedabad,56,214,24.58,73.68,0.2675,23.03,72.58
UDR,BOM,Udaipur,Mumbai,83,621,24.58,73.68,0.77625,19.08,72.88
UDR,PNQ,Udaipur,Pune,44,668,24.58,73.68,0.835,18.52,73.85
UDR,GOI,Udaipur,Goa,77,1023,24.58,73.68,1.27875,15.2993,74.124
UDR,LKO,Udaipur,Lucknow,84,741,24.58,73.68,0.92625,26.85,80.91
UDR,VNS,Udaipur,Varanasi,96,909,24.58,73.68,1.13625,25.3176,82.9739
UDR,PAT,Udaipur,Patna,49,1134,24.58,73.68,1.4175,25.5941,85.1376
UDR,RPR,Udaipur,Raipur,91,890,24.58,73.68,1.1125,21.2514,81.6296
UDR,RNC,Udaipur,Ranchi,75,1171,24.58,73.68,1.46375,23.3441,85.3095
UDR,BBI,Udaipur,Bhubaneswar,38,1319,24.58,73.68,1.64875,20.2961,85.8245
UDR,CCU,Udaipur,Kolkata,76,1500,24.58,73.68,1.875,22.5726,88.3639
UDR,IXB,Udaipur,Bagdogra,89,1466,24.58,73.68,1.8325,26.677,88.3282
UDR,HYD,Udaipur,Hyderabad,74,943,24.58,73.68,1.17875,17.385,78.4867
AMD,IXJ,Ahmedabad,Jammu,99,1087,23.03,72.58,1.35875,32.69,74.84
AMD,ATQ,Ahmedabad,Amritsar,98,980,23.03,72.58,1.225,31.71,74.8
AMD,IXC,Ahmedabad,Chandigarh,100,937,23.03,72.58,1.17125,30.67,76.79
AMD,DED,Ahmedabad,Dehradun,51,962,23.03,72.58,1.2025,30.19,78.18
AMD,DEL,Ahmedabad,Delhi,21,755,23.03,72.58,0.94375,28.56,77.1
AMD,JAI,Ahmedabad,Jaipur,76,525,23.03,72.58,0.65625,26.82,75.8
AMD,UDR,Ahmedabad,Udaipur,65,214,23.03,72.58,0.2675,24.58,73.68
AMD,BOM,Ahmedabad,Mumbai,39,442,23.03,72.58,0.5525,19.08,72.88
AMD,PNQ,Ahmedabad,Pune,81,515,23.03,72.58,0.64375,18.52,73.85
AMD,GOI,Ahmedabad,Goa,24,861,23.03,72.58,1.07625,15.2993,74.124
AMD,LKO,Ahmedabad,Lucknow,60,928,23.03,72.58,1.16,26.85,80.91
AMD,VNS,Ahmedabad,Varanasi,68,1071,23.03,72.58,1.33875,25.3176,82.9739
AMD,PAT,Ahmedabad,Patna,35,1294,23.03,72.58,1.6175,25.5941,85.1376
AMD,RPR,Ahmedabad,Raipur,77,962,23.03,72.58,1.2025,21.2514,81.6296
AMD,RNC,Ahmedabad,Ranchi,22,1299,23.03,72.58,1.62375,23.3441,85.3095
AMD,BBI,Ahmedabad,Bhubaneswar,28,1400,23.03,72.58,1.75,20.2961,85.8245
AMD,CCU,Ahmedabad,Kolkata,90,1623,23.03,72.58,2.02875,22.5726,88.3639
AMD,IXB,Ahmedabad,Bagdogra,86,1634,23.03,72.58,2.0425,26.677,88.3282
AMD,HYD,Ahmedabad,Hyderabad,51,885,23.03,72.58,1.10625,17.385,78.4867
BOM,IXJ,Mumbai,Jammu,78,1519,19.08,72.88,1.89875,32.69,74.84
BOM,ATQ,Mumbai,Amritsar,93,1411,19.08,72.88,1.76375,31.71,74.8
BOM,IXC,Mumbai,Chandigarh,80,1343,19.08,72.88,1.67875,30.67,76.79
BOM,DED,Mumbai,Dehradun,89,1342,19.08,72.88,1.6775,30.19,78.18
BOM,DEL,Mumbai,Delhi,39,1135,19.08,72.88,1.41875,28.56,77.1
BOM,JAI,Mumbai,Jaipur,86,908,19.08,72.88,1.135,26.82,75.8
BOM,UDR,Mumbai,Udaipur,22,621,19.08,72.88,0.77625,24.58,73.68
BOM,AMD,Mumbai,Ahmedabad,48,442,19.08,72.88,0.5525,23.03,72.58
BOM,PNQ,Mumbai,Pune,23,124,19.08,72.88,0.155,18.52,73.85
BOM,GOI,Mumbai,Goa,100,423,19.08,72.88,0.52875,15.2993,74.124
BOM,LKO,Mumbai,Lucknow,55,1182,19.08,72.88,1.4775,26.85,80.91
BOM,VNS,Mumbai,Varanasi,28,1247,19.08,72.88,1.55875,25.3176,82.9739
BOM,PAT,Mumbai,Patna,35,1449,19.08,72.88,1.81125,25.5941,85.1376
BOM,RPR,Mumbai,Raipur,84,956,19.08,72.88,1.195,21.2514,81.6296
BOM,RNC,Mumbai,Ranchi,84,1374,19.08,72.88,1.7175,23.3441,85.3095
BOM,BBI,Mumbai,Bhubaneswar,81,1364,19.08,72.88,1.705,20.2961,85.8245
BOM,CCU,Mumbai,Kolkata,43,1668,19.08,72.88,2.085,22.5726,88.3639
BOM,IXB,Mumbai,Bagdogra,79,1793,19.08,72.88,2.24125,26.677,88.3282
BOM,HYD,Mumbai,Hyderabad,58,623,19.08,72.88,0.77875,17.385,78.4867
PNQ,IXJ,Pune,Jammu,21,1566,18.52,73.85,1.9575,32.69,74.84
PNQ,ATQ,Pune,Amritsar,94,1547,18.52,73.85,1.93375,31.71,74.8
PNQ,IXC,Pune,Chandigarh,24,1370,18.52,73.85,1.7125,30.67,76.79
PNQ,DED,Pune,Dehradun,61,1356,18.52,73.85,1.695,30.19,78.18
PNQ,DEL,Pune,Delhi,99,1152,18.52,73.85,1.44,28.56,77.1
PNQ,JAI,Pune,Jaipur,64,933,18.52,73.85,1.16625,26.82,75.8
PNQ,UDR,Pune,Udaipur,33,668,18.52,73.85,0.835,24.58,73.68
PNQ,AMD,Pune,Ahmedabad,83,515,18.52,73.85,0.64375,23.03,72.58
PNQ,BOM,Pune,Mumbai,57,124,18.52,73.85,0.155,19.08,72.88
PNQ,GOI,Pune,Goa,57,354,18.52,73.85,0.4425,15.2993,74.124
PNQ,LKO,Pune,Lucknow,60,1154,18.52,73.85,1.4425,26.85,80.91
PNQ,VNS,Pune,Varanasi,27,1195,18.52,73.85,1.49375,25.3176,82.9739
PNQ,PAT,Pune,Patna,100,1388,18.52,73.85,1.735,25.5941,85.1376
PNQ,RPR,Pune,Raipur,78,868,18.52,73.85,1.085,21.2514,81.6296
PNQ,RNC,Pune,Ranchi,40,1296,18.52,73.85,1.62,23.3441,85.3095
PNQ,BBI,Pune,Bhubaneswar,52,1263,18.52,73.85,1.57875,20.2961,85.8245
PNQ,CCU,Pune,Kolkata,56,1579,18.52,73.85,1.97375,22.5726,88.3639
PNQ,IXB,Pune,Bagdogra,62,1729,18.52,73.85,2.16125,26.677,88.3282
PNQ,HYD,Pune,Hyderabad,38,500,18.52,73.85,0.625,17.385,78.4867
GOI,IXJ,Goa,Jammu,56,1920,15.2993,74.124,2.4,32.69,74.84
GOI,ATQ,Goa,Amritsar,83,1811,15.2993,74.124,2.26375,31.71,74.8
GOI,IXC,Goa,Chandigarh,44,1720,15.2993,74.124,2.15,30.67,76.79
GOI,DED,Goa,Dehradun,58,1669,15.2993,74.124,2.08625,30.19,78.18
GOI,DEL,Goa,Delhi,54,1498,15.2993,74.124,1.8725,28.56,77.1
GOI,JAI,Goa,Jaipur,20,1284,15.2993,74.124,1.605,26.82,75.8
GOI,UDR,Goa,Udaipur,64,1023,15.2993,74.124,1.27875,24.58,73.68
GOI,AMD,Goa,Ahmedabad,24,861,15.2993,74.124,1.07625,23.03,72.58
GOI,BOM,Goa,Mumbai,37,423,15.2993,74.124,0.52875,19.08,72.88
GOI,PNQ,Goa,Pune,83,354,15.2993,74.124,0.4425,18.52,73.85
GOI,LKO,Goa,Lucknow,65,1457,15.2993,74.124,1.82125,26.85,80.91
GOI,VNS,Goa,Varanasi,93,1459,15.2993,74.124,1.82375,25.3176,82.9739
GOI,PAT,Goa,Patna,68,1628,15.2993,74.124,2.035,25.5941,85.1376
GOI,RPR,Goa,Raipur,35,1054,15.2993,74.124,1.3175,21.2514,81.6296
GOI,RNC,Goa,Ranchi,21,1492,15.2993,74.124,1.865,23.3441,85.3095
GOI,BBI,Goa,Bhubaneswar,36,1379,15.2993,74.124,1.72375,20.2961,85.8245
GOI,CCU,Goa,Kolkata,67,1735,15.2993,74.124,2.16875,22.5726,88.3639
GOI,IXB,Goa,Bagdogra,28,1956,15.2993,74.124,2.445,26.677,88.3282
GOI,HYD,Goa,Hyderabad,49,533,15.2993,74.124,0.66625,17.385,78.4867
LKO,IXJ,Lucknow,Jammu,29,880,26.85,80.91,1.1,32.69,74.84
LKO,ATQ,Lucknow,Amritsar,54,807,26.85,80.91,1.00875,31.71,74.8
LKO,IXC,Lucknow,Chandigarh,26,590,26.85,80.91,0.7375,30.67,76.79
LKO,DED,Lucknow,Dehradun,36,463,26.85,80.91,0.57875,30.19,78.18
LKO,DEL,Lucknow,Delhi,98,424,26.85,80.91,0.53,28.56,77.1
LKO,JAI,Lucknow,Jaipur,60,505,26.85,80.91,0.63125,26.82,75.8
LKO,UDR,Lucknow,Udaipur,39,741,26.85,80.91,0.92625,24.58,73.68
LKO,AMD,Lucknow,Ahmedabad,33,928,26.85,80.91,1.16,23.03,72.58
LKO,BOM,Lucknow,Mumbai,91,1182,26.85,80.91,1.4775,19.08,72.88
LKO,PNQ,Lucknow,Pune,32,1154,26.85,80.91,1.4425,18.52,73.85
LKO,GOI,Lucknow,Goa,46,1457,26.85,80.91,1.82125,15.2993,74.124
LKO,VNS,Lucknow,Varanasi,34,245,26.85,80.91,0.30625,25.3176,82.9739
LKO,PAT,Lucknow,Patna,99,439,26.85,80.91,0.54875,25.5941,85.1376
LKO,RPR,Lucknow,Raipur,92,624,26.85,80.91,0.78,21.2514,81.6296
LKO,RNC,Lucknow,Ranchi,63,588,26.85,80.91,0.735,23.3441,85.3095
LKO,BBI,Lucknow,Bhubaneswar,50,880,26.85,80.91,1.1,20.2961,85.8245
LKO,CCU,Lucknow,Kolkata,66,889,26.85,80.91,1.11125,22.5726,88.3639
LKO,IXB,Lucknow,Bagdogra,36,740,26.85,80.91,0.925,26.677,88.3282
LKO,HYD,Lucknow,Hyderabad,48,1084,26.85,80.91,1.355,17.385,78.4867
VNS,IXJ,Varanasi,Jammu,81,1119,25.3176,82.9739,1.39875,32.69,74.84
VNS,ATQ,Varanasi,Amritsar,56,1050,25.3176,82.9739,1.3125,31.71,74.8
VNS,IXC,Varanasi,Chandigarh,97,831,25.3176,82.9739,1.03875,30.67,76.79
VNS,DED,Varanasi,Dehradun,70,699,25.3176,82.9739,0.87375,30.19,78.18
VNS,DEL,Varanasi,Delhi,68,667,25.3176,82.9739,0.83375,28.56,77.1
VNS,JAI,Varanasi,Jaipur,21,721,25.3176,82.9739,0.90125,26.82,75.8
VNS,UDR,Varanasi,Udaipur,80,909,25.3176,82.9739,1.13625,24.58,73.68
VNS,AMD,Varanasi,Ahmedabad,51,1071,25.3176,82.9739,1.33875,23.03,72.58
VNS,BOM,Varanasi,Mumbai,91,1247,25.3176,82.9739,1.55875,19.08,72.88
VNS,PNQ,Varanasi,Pune,32,1195,25.3176,82.9739,1.49375,18.52,73.85
VNS,GOI,Varanasi,Goa,26,1459,25.3176,82.9739,1.82375,15.2993,74.124
VNS,LKO,Varanasi,Lucknow,91,245,25.3176,82.9739,0.30625,26.85,80.91
VNS,PAT,Varanasi,Patna,65,225,25.3176,82.9739,0.28125,25.5941,85.1376
VNS,RPR,Varanasi,Raipur,65,487,25.3176,82.9739,0.60875,21.2514,81.6296
VNS,RNC,Varanasi,Ranchi,98,344,25.3176,82.9739,0.43,23.3441,85.3095
VNS,BBI,Varanasi,Bhubaneswar,54,652,25.3176,82.9739,0.815,20.2961,85.8245
VNS,CCU,Varanasi,Kolkata,91,647,25.3176,82.9739,0.80875,22.5726,88.3639
VNS,IXB,Varanasi,Bagdogra,58,564,25.3176,82.9739,0.705,26.677,88.3282
VNS,HYD,Varanasi,Hyderabad,90,1018,25.3176,82.9739,1.2725,17.385,78.4867
PAT,IXJ,Patna,Jammu,25,1269,25.5941,85.1376,1.58625,32.69,74.84
PAT,ATQ,Patna,Amritsar,87,1212,25.5941,85.1376,1.515,31.71,74.8
PAT,IXC,Patna,Chandigarh,50,991,25.5941,85.1376,1.23875,30.67,76.79
PAT,DED,Patna,Dehradun,42,850,25.5941,85.1376,1.0625,30.19,78.18
PAT,DEL,Patna,Delhi,52,858,25.5941,85.1376,1.0725,28.56,77.1
PAT,JAI,Patna,Jaipur,29,937,25.5941,85.1376,1.17125,26.82,75.8
PAT,UDR,Patna,Udaipur,24,1134,25.5941,85.1376,1.4175,24.58,73.68
PAT,AMD,Patna,Ahmedabad,80,1294,25.5941,85.1376,1.6175,23.03,72.58
PAT,BOM,Patna,Mumbai,60,1449,25.5941,85.1376,1.81125,19.08,72.88
PAT,PNQ,Patna,Pune,30,1388,25.5941,85.1376,1.735,18.52,73.85
PAT,GOI,Patna,Goa,86,1628,25.5941,85.1376,2.035,15.2993,74.124
PAT,LKO,Patna,Lucknow,56,439,25.5941,85.1376,0.54875,26.85,80.91
PAT,VNS,Patna,Varanasi,78,225,25.5941,85.1376,0.28125,25.3176,82.9739
PAT,RPR,Patna,Raipur,35,596,25.5941,85.1376,0.745,21.2514,81.6296
PAT,RNC,Patna,Ranchi,43,253,25.5941,85.1376,0.31625,23.3441,85.3095
PAT,BBI,Patna,Bhubaneswar,86,597,25.5941,85.1376,0.74625,20.2961,85.8245
PAT,CCU,Patna,Kolkata,31,471,25.5941,85.1376,0.58875,22.5726,88.3639
PAT,IXB,Patna,Bagdogra,50,346,25.5941,85.1376,0.4325,26.677,88.3282
PAT,HYD,Patna,Hyderabad,88,1153,25.5941,85.1376,1.44125,17.385,78.4867
RPR,IXJ,Raipur,Jammu,58,1447,21.2514,81.6296,1.80875,32.69,74.84
RPR,ATQ,Raipur,Amritsar,96,1356,21.2514,81.6296,1.695,31.71,74.8
RPR,IXC,Raipur,Chandigarh,21,1162,21.2514,81.6296,1.4525,30.67,76.79
RPR,DED,Raipur,Dehradun,95,1060,21.2514,81.6296,1.325,30.19,78.18
RPR,DEL,Raipur,Delhi,66,943,21.2514,81.6296,1.17875,28.56,77.1
RPR,JAI,Raipur,Jaipur,89,868,21.2514,81.6296,1.085,26.82,75.8
RPR,UDR,Raipur,Udaipur,80,890,21.2514,81.6296,1.1125,24.58,73.68
RPR,AMD,Raipur,Ahmedabad,56,962,21.2514,81.6296,1.2025,23.03,72.58
RPR,BOM,Raipur,Mumbai,47,956,21.2514,81.6296,1.195,19.08,72.88
RPR,PNQ,Raipur,Pune,31,868,21.2514,81.6296,1.085,18.52,73.85
RPR,GOI,Raipur,Goa,26,1054,21.2514,81.6296,1.3175,15.2993,74.124
RPR,LKO,Raipur,Lucknow,97,624,21.2514,81.6296,0.78,26.85,80.91
RPR,VNS,Raipur,Varanasi,88,487,21.2514,81.6296,0.60875,25.3176,82.9739
RPR,PAT,Raipur,Patna,75,596,21.2514,81.6296,0.745,25.5941,85.1376
RPR,RNC,Raipur,Ranchi,91,438,21.2514,81.6296,0.5475,23.3441,85.3095
RPR,BBI,Raipur,Bhubaneswar,43,437,21.2514,81.6296,0.54625,20.2961,85.8245
RPR,CCU,Raipur,Kolkata,35,712,21.2514,81.6296,0.89,22.5726,88.3639
RPR,IXB,Raipur,Bagdogra,50,906,21.2514,81.6296,1.1325,26.677,88.3282
RPR,HYD,Raipur,Hyderabad,48,558,21.2514,81.6296,0.6975,17.385,78.4867
RNC,IXJ,Ranchi,Jammu,36,1462,23.3441,85.3095,1.8275,32.69,74.84
RNC,ATQ,Ranchi,Amritsar,35,1394,23.3441,85.3095,1.7425,31.71,74.8
RNC,IXC,Ranchi,Chandigarh,28,1175,23.3441,85.3095,1.46875,30.67,76.79
RNC,DED,Ranchi,Dehradun,70,1041,23.3441,85.3095,1.30125,30.19,78.18
RNC,DEL,Ranchi,Delhi,94,1008,23.3441,85.3095,1.26,28.56,77.1
RNC,JAI,Ranchi,Jaipur,77,1035,23.3441,85.3095,1.29375,26.82,75.8
RNC,UDR,Ranchi,Udaipur,37,1171,23.3441,85.3095,1.46375,24.58,73.68
RNC,AMD,Ranchi,Ahmedabad,24,1299,23.3441,85.3095,1.62375,23.03,72.58
RNC,BOM,Ranchi,Mumbai,21,1374,23.3441,85.3095,1.7175,19.08,72.88
RNC,PNQ,Ranchi,Pune,40,1296,23.3441,85.3095,1.62,18.52,73.85
RNC,GOI,Ranchi,Goa,77,1492,23.3441,85.3095,1.865,15.2993,74.124
RNC,LKO,Ranchi,Lucknow,87,588,23.3441,85.3095,0.735,26.85,80.91
RNC,VNS,Ranchi,Varanasi,96,344,23.3441,85.3095,0.43,25.3176,82.9739
RNC,PAT,Ranchi,Patna,47,253,23.3441,85.3095,0.31625,25.5941,85.1376
